ID_original,ID_new,mean_A,mean_w,mean_a,mean_c,nfcc,finalScore
222,1,0.05432598415076472,0.3060941247907413,0.3123522514120725,1.0200508374819917,1,1500
1135,2,0.3460047977424731,3.866763376156087,0.012245715919636517,2.8005614296739942,1,35500
1175,3,0.3077051393919482,0.36933659984498307,0.6400192821263024,0.6304681736544928,1,5000
1201,4,0.16887596952139555,0.33944071191357345,0.513935744467534,0.6938529138002117,1,12500
1371,5,0.041188914851853324,0.10396256294918467,0.9169402394615412,1.0663445345369835,1,1500
1398,6,0.09667423629691879,1.8526161375371004,0.0048389611481796675,3.5715187196297986,1,24000
1421,7,0.358119458252931,2.5581673573118096,0.014080439699078177,3.3728681277904955,1,39500
1477,8,0.28132412895659364,4.717595663871692,0.0045581976868361495,3.7846471655629603,1,37000
1482,9,0.574688222728302,2.6713049838943,0.023584574889708616,2.205227079381096,1,38000
1537,10,0.8744497693854867,1.1784212679664952,0.004980180215238012,3.6265922711796703,1,30500
1543,11,0.6038707162487864,1.7111031286287552,0.0038545901565601474,3.9032983592678088,0,27500
1611,12,0.1894780104784341,0.11448160927211452,0.499979031043996,0.9268859208644094,1,-6000
1629,13,0.20469957783872136,0.7152979253518773,0.0198303951048654,2.0098743870442637,0,25000
1669,14,0.35847985090507206,2.0973480787882215,0.6106994996876243,0.48802969032312304,1,14000
1809,15,0.29177957943337973,3.9019303655084197,0.0043334917759326125,3.680115601650653,0,29500
1810,16,0.41381879465139604,0.9451093531173694,0.4697917774826498,0.49592975860166044,1,-4500
1968,17,0.2893842465398541,0.43789053184794474,0.7787912186636375,0.7881909669919462,1,-7500
2007,18,0.37458741581456373,4.361663315262477,0.01042777538112696,2.2648893139238013,1,24500
2038,19,0.2862739373567648,3.266513985193913,0.32894481717193236,0.9975985914781491,1,34500
2105,20,0.7045374863345204,0.5046766900526003,0.1567178729928737,1.7744942603521976,0,28500
2159,21,0.43610898698666306,1.6505905060570902,0.4232527146914821,0.17207662969953866,0,-1500
2226,22,0.33803137020901436,0.22715163471628227,0.060834819798561104,1.0820990626324554,0,28000
2242,23,0.6371934519661594,1.5301665849202821,0.0038067305455082925,4.079790329554027,0,29500
2269,24,0.33714250099713466,4.0678649368027,0.007098392374986901,3.73280275703852,1,41000
2282,25,0.3396692721551311,4.436679433762177,0.004438122512417742,3.8321078821101047,0,29500
2302,26,0.28030391929482673,3.5868101924137874,0.010411987711717302,3.6015750692004995,1,16000
2377,27,0.687172787324313,1.444226436482774,0.01217800422271029,3.092404210417455,1,27500
2413,28,0.09040844322633237,0.3128910415938937,0.6794091077394051,0.6195893234898912,1,10500
