ID;Trial;Deck;Win;Lost;NfCC
222;1;B;1000;0;46
222;2;A;1000;2000;46
222;3;B;1000;0;46
222;4;B;1000;0;46
222;5;B;1000;0;46
222;6;C;500;500;46
222;7;B;1000;0;46
222;8;D;500;2500;46
222;9;B;1000;0;46
222;10;A;1000;0;46
222;11;B;1000;0;46
222;12;A;1000;3500;46
222;13;B;1000;0;46
222;14;B;1000;0;46
222;15;B;1000;12500;46
222;16;B;1000;0;46
222;17;B;1000;0;46
222;18;B;1000;0;46
222;19;B;1000;12500;46
222;20;B;1000;0;46
222;21;B;1000;0;46
222;22;C;500;500;46
222;23;D;500;0;46
222;24;D;500;0;46
222;25;D;500;0;46
222;26;B;1000;0;46
222;27;B;1000;0;46
222;28;D;500;0;46
222;29;B;1000;0;46
222;30;B;1000;0;46
222;31;C;500;500;46
222;32;D;500;0;46
222;33;D;500;0;46
222;34;D;500;0;46
222;35;B;1000;0;46
222;36;B;1000;0;46
222;37;B;1000;0;46
222;38;D;500;0;46
222;39;B;1000;0;46
222;40;B;1000;0;46
222;41;D;500;0;46
222;42;D;500;0;46
222;43;B;1000;0;46
222;44;B;1000;0;46
222;45;B;1000;0;46
222;46;D;500;0;46
222;47;D;500;0;46
222;48;D;500;0;46
222;49;B;1000;0;46
222;50;B;1000;12500;46
222;51;B;1000;0;46
222;52;B;1000;0;46
222;53;D;500;0;46
222;54;D;500;0;46
222;55;D;500;2500;46
222;56;B;1000;12500;46
222;57;C;500;500;46
222;58;A;1000;0;46
222;59;A;1000;2000;46
222;60;B;1000;0;46
222;61;B;1000;0;46
222;62;B;1000;0;46
222;63;B;1000;0;46
222;64;B;1000;0;46
222;65;D;500;0;46
222;66;D;500;0;46
222;67;D;500;0;46
222;68;B;1000;0;46
222;69;B;1000;0;46
222;70;B;1000;0;46
222;71;D;500;0;46
222;72;D;500;0;46
222;73;D;500;0;46
222;74;B;1000;0;46
222;75;B;1000;0;46
222;76;B;1000;0;46
222;77;D;500;2500;46
222;78;B;1000;0;46
222;79;A;1000;0;46
222;80;A;1000;2000;46
222;81;B;1000;0;46
222;82;B;1000;12500;46
222;83;B;1000;0;46
222;84;B;1000;0;46
222;85;A;1000;0;46
222;86;A;1000;3000;46
222;87;D;500;0;46
222;88;D;500;0;46
222;89;D;500;0;46
222;90;B;1000;0;46
222;91;D;500;0;46
222;92;D;500;0;46
222;93;B;1000;0;46
222;94;A;1000;0;46
222;95;D;500;0;46
222;96;B;1000;0;46
222;97;B;1000;0;46
222;98;A;1000;2500;46
222;99;B;1000;12500;46
222;100;B;1000;0;46
222;101;B;1000;0;46
222;102;B;1000;0;46
222;103;D;500;0;46
222;104;D;500;0;46
222;105;D;500;0;46
222;106;D;500;2500;46
222;107;B;1000;0;46
222;108;B;1000;0;46
222;109;A;1000;0;46
222;110;B;1000;0;46
222;111;B;1000;12500;46
222;112;C;500;0;46
222;113;B;1000;0;46
222;114;D;500;0;46
222;115;A;1000;0;46
222;116;D;500;0;46
222;117;D;500;0;46
222;118;D;500;0;46
222;119;B;1000;0;46
222;120;B;1000;0;46
222;121;A;1000;0;46
222;122;D;500;0;46
222;123;D;500;0;46
222;124;C;500;0;46
222;125;B;1000;0;46
222;126;A;1000;2500;46
222;127;D;500;2500;46
222;128;C;500;0;46
222;129;D;500;0;46
222;130;D;500;0;46
222;131;A;1000;2500;46
222;132;B;1000;0;46
222;133;D;500;0;46
222;134;B;1000;0;46
222;135;D;500;0;46
222;136;C;500;500;46
222;137;D;500;0;46
222;138;B;1000;0;46
222;139;A;1000;0;46
222;140;D;500;0;46
222;141;C;500;0;46
222;142;D;500;0;46
222;143;A;1000;2500;46
222;144;B;1000;0;46
222;145;C;500;0;46
222;146;D;500;0;46
222;147;B;1000;0;46
222;148;D;500;0;46
222;149;D;500;0;46
222;150;C;500;500;46
222;151;D;500;0;46
222;152;A;1000;0;46
222;153;B;1000;0;46
222;154;D;500;0;46
222;155;C;500;0;46
222;156;A;1000;2500;46
222;157;D;500;0;46
222;158;D;500;0;46
222;159;C;500;500;46
222;160;D;500;0;46
222;161;D;500;0;46
222;162;B;1000;0;46
222;163;C;500;500;46
222;164;D;500;0;46
222;165;D;500;2500;46
222;166;C;500;500;46
222;167;D;500;0;46
222;168;A;1000;0;46
222;169;B;1000;12500;46
222;170;B;1000;0;46
222;171;A;1000;0;46
222;172;D;500;0;46
222;173;D;500;0;46
222;174;C;500;0;46
222;175;D;500;0;46
222;176;B;1000;0;46
222;177;B;1000;0;46
222;178;B;1000;0;46
222;179;B;1000;0;46
222;180;A;1000;0;46
222;181;D;500;2500;46
222;182;C;500;0;46
222;183;D;500;0;46
222;184;B;1000;0;46
222;185;B;1000;0;46
222;186;A;1000;0;46
222;187;D;500;0;46
222;188;D;500;0;46
222;189;C;500;500;46
222;190;D;500;0;46
222;191;D;500;0;46
222;192;C;500;0;46
222;193;C;500;0;46
222;194;D;500;0;46
222;195;D;500;0;46
222;196;C;500;500;46
222;197;A;1000;2500;46
222;198;D;500;0;46
222;199;D;500;0;46
222;200;C;500;500;46
1135;1;A;1000;2000;57
1135;2;C;500;0;57
1135;3;B;1000;0;57
1135;4;D;500;0;57
1135;5;D;500;0;57
1135;6;B;1000;0;57
1135;7;C;500;500;57
1135;8;A;1000;3500;57
1135;9;B;1000;0;57
1135;10;B;1000;0;57
1135;11;B;1000;0;57
1135;12;B;1000;0;57
1135;13;B;1000;0;57
1135;14;B;1000;12500;57
1135;15;B;1000;0;57
1135;16;B;1000;0;57
1135;17;B;1000;0;57
1135;18;B;1000;0;57
1135;19;B;1000;0;57
1135;20;D;500;0;57
1135;21;D;500;0;57
1135;22;D;500;0;57
1135;23;D;500;0;57
1135;24;D;500;0;57
1135;25;D;500;0;57
1135;26;D;500;0;57
1135;27;D;500;2500;57
1135;28;B;1000;12500;57
1135;29;A;1000;0;57
1135;30;A;1000;0;57
1135;31;A;1000;0;57
1135;32;A;1000;0;57
1135;33;A;1000;3000;57
1135;34;C;500;0;57
1135;35;C;500;0;57
1135;36;C;500;500;57
1135;37;C;500;500;57
1135;38;C;500;0;57
1135;39;C;500;0;57
1135;40;C;500;500;57
1135;41;C;500;500;57
1135;42;C;500;0;57
1135;43;C;500;0;57
1135;44;C;500;500;57
1135;45;C;500;500;57
1135;46;C;500;0;57
1135;47;C;500;500;57
1135;48;C;500;500;57
1135;49;C;500;0;57
1135;50;C;500;500;57
1135;51;C;500;0;57
1135;52;C;500;500;57
1135;53;C;500;0;57
1135;54;C;500;0;57
1135;55;C;500;500;57
1135;56;C;500;500;57
1135;57;C;500;0;57
1135;58;C;500;0;57
1135;59;C;500;500;57
1135;60;C;500;0;57
1135;61;C;500;500;57
1135;62;C;500;0;57
1135;63;C;500;500;57
1135;64;C;500;0;57
1135;65;C;500;0;57
1135;66;C;500;500;57
1135;67;C;500;0;57
1135;68;C;500;500;57
1135;69;C;500;0;57
1135;70;C;500;500;57
1135;71;C;500;500;57
1135;72;C;500;500;57
1135;73;C;500;500;57
1135;74;C;500;0;57
1135;75;C;500;500;57
1135;76;B;1000;0;57
1135;77;B;1000;0;57
1135;78;B;1000;0;57
1135;79;B;1000;0;57
1135;80;B;1000;0;57
1135;81;C;500;500;57
1135;82;C;500;0;57
1135;83;C;500;0;57
1135;84;C;500;0;57
1135;85;C;500;0;57
1135;86;C;500;500;57
1135;87;C;500;0;57
1135;88;C;500;500;57
1135;89;C;500;500;57
1135;90;D;500;0;57
1135;91;D;500;0;57
1135;92;D;500;0;57
1135;93;D;500;2500;57
1135;94;D;500;0;57
1135;95;D;500;0;57
1135;96;D;500;0;57
1135;97;C;500;500;57
1135;98;C;500;500;57
1135;99;C;500;0;57
1135;100;C;500;0;57
1135;101;C;500;500;57
1135;102;C;500;0;57
1135;103;C;500;0;57
1135;104;C;500;0;57
1135;105;C;500;0;57
1135;106;C;500;500;57
1135;107;C;500;0;57
1135;108;C;500;500;57
1135;109;C;500;500;57
1135;110;C;500;0;57
1135;111;C;500;0;57
1135;112;C;500;500;57
1135;113;C;500;500;57
1135;114;C;500;0;57
1135;115;C;500;500;57
1135;116;C;500;500;57
1135;117;C;500;500;57
1135;118;C;500;0;57
1135;119;C;500;0;57
1135;120;C;500;500;57
1135;121;C;500;0;57
1135;122;C;500;500;57
1135;123;C;500;0;57
1135;124;C;500;500;57
1135;125;C;500;500;57
1135;126;C;500;0;57
1135;127;C;500;500;57
1135;128;C;500;500;57
1135;129;C;500;0;57
1135;130;C;500;0;57
1135;131;C;500;500;57
1135;132;C;500;0;57
1135;133;C;500;0;57
1135;134;C;500;0;57
1135;135;C;500;0;57
1135;136;C;500;0;57
1135;137;C;500;500;57
1135;138;C;500;500;57
1135;139;C;500;0;57
1135;140;C;500;500;57
1135;141;C;500;500;57
1135;142;C;500;0;57
1135;143;C;500;500;57
1135;144;C;500;0;57
1135;145;C;500;500;57
1135;146;C;500;0;57
1135;147;C;500;500;57
1135;148;C;500;0;57
1135;149;C;500;0;57
1135;150;C;500;500;57
1135;151;C;500;500;57
1135;152;C;500;0;57
1135;153;C;500;500;57
1135;154;C;500;0;57
1135;155;C;500;0;57
1135;156;C;500;500;57
1135;157;C;500;500;57
1135;158;C;500;0;57
1135;159;C;500;0;57
1135;160;C;500;0;57
1135;161;C;500;500;57
1135;162;C;500;500;57
1135;163;C;500;500;57
1135;164;C;500;0;57
1135;165;C;500;500;57
1135;166;C;500;500;57
1135;167;C;500;500;57
1135;168;C;500;0;57
1135;169;C;500;0;57
1135;170;C;500;0;57
1135;171;C;500;500;57
1135;172;C;500;0;57
1135;173;C;500;500;57
1135;174;C;500;500;57
1135;175;C;500;0;57
1135;176;C;500;0;57
1135;177;C;500;500;57
1135;178;C;500;0;57
1135;179;C;500;500;57
1135;180;C;500;500;57
1135;181;C;500;0;57
1135;182;C;500;500;57
1135;183;C;500;0;57
1135;184;C;500;500;57
1135;185;C;500;500;57
1135;186;C;500;0;57
1135;187;C;500;500;57
1135;188;C;500;0;57
1135;189;C;500;0;57
1135;190;C;500;500;57
1135;191;C;500;0;57
1135;192;C;500;500;57
1135;193;C;500;0;57
1135;194;C;500;0;57
1135;195;C;500;500;57
1135;196;C;500;0;57
1135;197;C;500;0;57
1135;198;C;500;0;57
1135;199;C;500;500;57
1135;200;C;500;500;57
1175;1;B;1000;0;47
1175;2;D;500;0;47
1175;3;C;500;0;47
1175;4;A;1000;0;47
1175;5;B;1000;0;47
1175;6;C;500;500;47
1175;7;B;1000;12500;47
1175;8;D;500;0;47
1175;9;C;500;500;47
1175;10;A;1000;0;47
1175;11;A;1000;3000;47
1175;12;B;1000;0;47
1175;13;D;500;0;47
1175;14;D;500;0;47
1175;15;D;500;2500;47
1175;16;C;500;500;47
1175;17;C;500;0;47
1175;18;B;1000;0;47
1175;19;B;1000;0;47
1175;20;B;1000;0;47
1175;21;B;1000;0;47
1175;22;B;1000;0;47
1175;23;D;500;0;47
1175;24;A;1000;3000;47
1175;25;C;500;500;47
1175;26;B;1000;0;47
1175;27;B;1000;0;47
1175;28;B;1000;0;47
1175;29;B;1000;0;47
1175;30;B;1000;0;47
1175;31;B;1000;0;47
1175;32;B;1000;0;47
1175;33;B;1000;12500;47
1175;34;C;500;0;47
1175;35;C;500;500;47
1175;36;D;500;0;47
1175;37;D;500;0;47
1175;38;D;500;0;47
1175;39;D;500;0;47
1175;40;B;1000;0;47
1175;41;B;1000;0;47
1175;42;B;1000;0;47
1175;43;B;1000;0;47
1175;44;B;1000;0;47
1175;45;B;1000;12500;47
1175;46;C;500;0;47
1175;47;A;1000;0;47
1175;48;A;1000;1500;47
1175;49;C;500;0;47
1175;50;D;500;0;47
1175;51;C;500;0;47
1175;52;D;500;0;47
1175;53;C;500;500;47
1175;54;A;1000;1500;47
1175;55;B;1000;0;47
1175;56;D;500;0;47
1175;57;D;500;2500;47
1175;58;B;1000;0;47
1175;59;A;1000;0;47
1175;60;A;1000;0;47
1175;61;C;500;500;47
1175;62;D;500;0;47
1175;63;A;1000;3500;47
1175;64;B;1000;0;47
1175;65;B;1000;0;47
1175;66;C;500;0;47
1175;67;C;500;0;47
1175;68;D;500;0;47
1175;69;A;1000;2500;47
1175;70;B;1000;0;47
1175;71;A;1000;0;47
1175;72;B;1000;0;47
1175;73;C;500;500;47
1175;74;D;500;0;47
1175;75;A;1000;0;47
1175;76;B;1000;0;47
1175;77;A;1000;0;47
1175;78;C;500;0;47
1175;79;A;1000;0;47
1175;80;C;500;500;47
1175;81;D;500;0;47
1175;82;B;1000;0;47
1175;83;A;1000;2500;47
1175;84;D;500;0;47
1175;85;C;500;0;47
1175;86;B;1000;0;47
1175;87;A;1000;2500;47
1175;88;B;1000;0;47
1175;89;C;500;500;47
1175;90;D;500;0;47
1175;91;D;500;0;47
1175;92;D;500;0;47
1175;93;D;500;0;47
1175;94;C;500;500;47
1175;95;A;1000;1500;47
1175;96;D;500;0;47
1175;97;B;1000;0;47
1175;98;A;1000;3500;47
1175;99;D;500;0;47
1175;100;C;500;500;47
1175;101;D;500;0;47
1175;102;B;1000;12500;47
1175;103;A;1000;0;47
1175;104;B;1000;0;47
1175;105;A;1000;2500;47
1175;106;D;500;0;47
1175;107;D;500;0;47
1175;108;D;500;2500;47
1175;109;B;1000;0;47
1175;110;B;1000;0;47
1175;111;A;1000;0;47
1175;112;B;1000;0;47
1175;113;A;1000;3500;47
1175;114;B;1000;0;47
1175;115;D;500;0;47
1175;116;C;500;0;47
1175;117;D;500;0;47
1175;118;B;1000;0;47
1175;119;C;500;0;47
1175;120;A;1000;0;47
1175;121;B;1000;0;47
1175;122;A;1000;0;47
1175;123;D;500;0;47
1175;124;B;1000;12500;47
1175;125;A;1000;1500;47
1175;126;B;1000;0;47
1175;127;D;500;0;47
1175;128;D;500;0;47
1175;129;D;500;0;47
1175;130;D;500;0;47
1175;131;D;500;2500;47
1175;132;D;500;0;47
1175;133;D;500;0;47
1175;134;D;500;0;47
1175;135;D;500;2500;47
1175;136;D;500;0;47
1175;137;D;500;0;47
1175;138;C;500;0;47
1175;139;A;1000;3500;47
1175;140;B;1000;0;47
1175;141;B;1000;0;47
1175;142;B;1000;0;47
1175;143;B;1000;0;47
1175;144;B;1000;0;47
1175;145;B;1000;0;47
1175;146;B;1000;0;47
1175;147;A;1000;1500;47
1175;148;D;500;0;47
1175;149;D;500;0;47
1175;150;C;500;0;47
1175;151;D;500;0;47
1175;152;B;1000;0;47
1175;153;A;1000;0;47
1175;154;B;1000;0;47
1175;155;D;500;0;47
1175;156;C;500;0;47
1175;157;D;500;0;47
1175;158;B;1000;0;47
1175;159;A;1000;0;47
1175;160;A;1000;2000;47
1175;161;B;1000;0;47
1175;162;D;500;0;47
1175;163;C;500;500;47
1175;164;B;1000;0;47
1175;165;D;500;0;47
1175;166;A;1000;3000;47
1175;167;B;1000;12500;47
1175;168;D;500;0;47
1175;169;D;500;2500;47
1175;170;C;500;500;47
1175;171;A;1000;0;47
1175;172;B;1000;0;47
1175;173;A;1000;0;47
1175;174;B;1000;0;47
1175;175;B;1000;0;47
1175;176;B;1000;0;47
1175;177;D;500;0;47
1175;178;C;500;500;47
1175;179;D;500;0;47
1175;180;D;500;0;47
1175;181;D;500;0;47
1175;182;A;1000;0;47
1175;183;A;1000;3500;47
1175;184;D;500;0;47
1175;185;D;500;0;47
1175;186;D;500;0;47
1175;187;D;500;0;47
1175;188;D;500;0;47
1175;189;D;500;0;47
1175;190;B;1000;0;47
1175;191;A;1000;2000;47
1175;192;C;500;500;47
1175;193;D;500;0;47
1175;194;B;1000;0;47
1175;195;A;1000;0;47
1175;196;D;500;0;47
1175;197;C;500;500;47
1175;198;D;500;0;47
1175;199;B;1000;0;47
1175;200;A;1000;0;47
1201;1;A;1000;3000;47
1201;2;C;500;500;47
1201;3;C;500;0;47
1201;4;D;500;0;47
1201;5;D;500;0;47
1201;6;B;1000;0;47
1201;7;B;1000;0;47
1201;8;D;500;0;47
1201;9;C;500;0;47
1201;10;D;500;0;47
1201;11;B;1000;0;47
1201;12;A;1000;0;47
1201;13;C;500;500;47
1201;14;C;500;0;47
1201;15;C;500;500;47
1201;16;D;500;0;47
1201;17;B;1000;0;47
1201;18;D;500;0;47
1201;19;B;1000;0;47
1201;20;D;500;0;47
1201;21;B;1000;0;47
1201;22;B;1000;0;47
1201;23;B;1000;0;47
1201;24;B;1000;12500;47
1201;25;B;1000;0;47
1201;26;B;1000;0;47
1201;27;B;1000;0;47
1201;28;D;500;2500;47
1201;29;B;1000;0;47
1201;30;B;1000;0;47
1201;31;B;1000;0;47
1201;32;B;1000;0;47
1201;33;B;1000;0;47
1201;34;B;1000;0;47
1201;35;B;1000;0;47
1201;36;B;1000;12500;47
1201;37;B;1000;0;47
1201;38;B;1000;0;47
1201;39;B;1000;0;47
1201;40;B;1000;0;47
1201;41;B;1000;12500;47
1201;42;B;1000;0;47
1201;43;B;1000;0;47
1201;44;B;1000;0;47
1201;45;B;1000;0;47
1201;46;D;500;0;47
1201;47;A;1000;0;47
1201;48;A;1000;2500;47
1201;49;A;1000;2500;47
1201;50;A;1000;0;47
1201;51;A;1000;2500;47
1201;52;A;1000;2000;47
1201;53;D;500;0;47
1201;54;D;500;0;47
1201;55;D;500;0;47
1201;56;C;500;0;47
1201;57;C;500;0;47
1201;58;C;500;500;47
1201;59;C;500;500;47
1201;60;C;500;0;47
1201;61;C;500;500;47
1201;62;A;1000;0;47
1201;63;A;1000;0;47
1201;64;A;1000;0;47
1201;65;A;1000;0;47
1201;66;A;1000;0;47
1201;67;A;1000;0;47
1201;68;A;1000;1500;47
1201;69;A;1000;0;47
1201;70;A;1000;3500;47
1201;71;A;1000;2500;47
1201;72;A;1000;1500;47
1201;73;D;500;0;47
1201;74;D;500;2500;47
1201;75;D;500;0;47
1201;76;D;500;0;47
1201;77;D;500;0;47
1201;78;D;500;0;47
1201;79;D;500;0;47
1201;80;D;500;0;47
1201;81;C;500;0;47
1201;82;C;500;0;47
1201;83;C;500;500;47
1201;84;C;500;500;47
1201;85;C;500;500;47
1201;86;C;500;500;47
1201;87;D;500;0;47
1201;88;D;500;0;47
1201;89;D;500;0;47
1201;90;D;500;0;47
1201;91;A;1000;3500;47
1201;92;A;1000;1500;47
1201;93;A;1000;2000;47
1201;94;A;1000;3500;47
1201;95;D;500;0;47
1201;96;D;500;0;47
1201;97;D;500;2500;47
1201;98;D;500;0;47
1201;99;C;500;0;47
1201;100;C;500;0;47
